_181500179,400
_181500039,386.25
_181500166,386.25
_181500016,386
_181500025,366.25
_171500226,360
_181500504,360
_181500257,360
_181500193,350
_181500165,340
_181500743,336.25
_181500279,330
_171500148,330
_181500584,330
madhav_lomash_c1,330
_181500693,320
_181500685,314.28
abhishek_pande21,300
avi_vivek_cs18,296.25
_181500573,280
_181500310,272.5
_181500132arunps,260
181500297_JAYESH,250
_181500262,246.25
181500278_Isha,210
_181500659,210
_181500633,210
_181500769,180
pankaj_upadhyay1,180
_181500699,180
_181500491,170
bharti_sharma_c1,158.75
G_181500816,140
_181500028,130
_181500003,120
_181500130,100
aman_gupta1_cs18,90
harshit_srivast6,86.25
G_51_stutikakkar,60
IshaParveen,40
vinay_sharma_cs1,40
vinay_sharma9027,30
_181500510,600
_171500174,600
_171500232,600
_181500682,600
_181500597,600
_181500116,600
_181500086,596.25
_181500367,591.25
_181500763,580
_181500264,570
_181500478,570
_181500088,550
_181500328,540
_181500521,540
_181500063,540
_181500433,540
_171500272,536.25
_181500805,530
_181500734,506.25
_181500604,500
_181500548,496.25
_181500105,480
_181500329,480
_181500154,480
_181500535,480
_181500432,480
_181500347,470
_181500097,460
_181500006,442.86
_181500752,438.75
_181500358,422.86
_181500159,420
_181500645,420
_181500388,410
_181500470,400
_181500812,392.5
_181500526,390
_181500700,375.71
_181500188,372.53
_181500241,350
_181500229,340
_181500277,340
_181500744,336.25
_181500208,326.25
prasant_kumar_c1,292.61
_181500766,285
_181500595,266.25
_181500268,255.71
_181500232,250
_181500776,250
_181500698,250
_181500023,220
_181500639,210
chanchal_kaushi1,180
ishant_goyal_cs1,180
harshvcode,150
_181500514,140
Takeshi_Kovacs,120
_181500223,90
ramanradha043,60
Vishal_812,60
astitva2000,40
_181500185,0
_171500092,452
_181500622,436.25
_181500115,430
_181500464,430
_181500537,423.39
_181500100,405
_181500565,390
_181500836,390
_181500379,390
_181500490,390
_181599004,390
_181500838,387.14
_181500775,382.5
_181500055,363.14
_181500679,362.86
_181500001,362.73
_181500430,360
_181500680,360
_181500300,356.25
_181500515,351.89
_181500834,340
_181500084,340
_181500790,326.16
_181500049,324.2
_171500358,320
_171500169,300
yogesh_saraswat1,300
_171500178,300
_181500183,292
_181500011,290
_181500489,280
_181500722,280
_181500456,270
_181500221,270
_181500453,270
_181500203,270
_181500610,255.71
_181599002,250
_181500360,240
